year,country,runningOrder,place
1963,Luxembourg,16,8
1964,Luxembourg,1,4
1964,Netherlands,2,10
1964,Norway,3,8
1964,Denmark,4,9
1964,Finland,5,7
1964,Austria,6,6
1964,France,7,4
1964,United Kingdom,8,2
1964,Germany,9,13
1964,Monaco,10,3
1964,Portugal,11,13
1964,Italy,12,1
1964,Yugoslavia,13,13
1964,Switzerland,14,13
1964,Belgium,15,10
1964,Spain,16,12
1965,Netherlands,1,11
1965,United Kingdom,2,2
1965,Spain,3,15
1965,Ireland,4,6
1965,Germany,5,15
1965,Austria,6,4
1965,Norway,7,13
1965,Belgium,8,15
1965,Monaco,9,9
1965,Sweden,10,10
1965,France,11,3
1965,Portugal,12,13
1965,Italy,13,5
1965,Denmark,14,7
1965,Luxembourg,15,1
1965,Finland,16,15
1965,Yugoslavia,17,12
1965,Switzerland,18,8
1966,Germany,1,10
1966,Denmark,2,14
1966,Belgium,3,4
1966,Luxembourg,4,10
1966,Yugoslavia,5,7
1966,Norway,6,3
1966,Finland,7,10
1966,Portugal,8,13
1966,Austria,9,1
1966,Sweden,10,2
1966,Spain,11,7
1966,Switzerland,12,6
1966,Monaco,13,17
1966,Italy,14,17
1966,France,15,16
1966,Netherlands,16,15
1966,Ireland,17,4
1966,United Kingdom,18,9
1967,Netherlands,1,14
1967,Luxembourg,2,4
1967,Austria,3,14
1967,France,4,3
1967,Portugal,5,12
1967,Switzerland,6,17
1967,Sweden,7,8
1967,Finland,8,12
1967,Germany,9,8
1967,Belgium,10,7
1967,United Kingdom,11,1
1967,Spain,12,6
1967,Norway,13,14
1967,Monaco,14,5
1967,Yugoslavia,15,8
1967,Italy,16,11
1967,Ireland,17,2
1968,Portugal,1,11
1968,Netherlands,2,16
1968,Belgium,3,7
1968,Austria,4,13
1968,Luxembourg,5,11
1968,Switzerland,6,13
1968,Monaco,7,7
1968,Sweden,8,5
1968,Finland,9,16
1968,France,10,3
1968,Italy,11,10
1968,United Kingdom,12,2
1968,Norway,13,13
1968,Ireland,14,4
1968,Spain,15,1
1968,Germany,16,6
1968,Yugoslavia,17,7
1969,Yugoslavia,1,13
1969,Luxembourg,2,11
1969,Spain,3,1
1969,Monaco,4,6
1969,Ireland,5,7
1969,Italy,6,13
1969,United Kingdom,7,1
1969,Netherlands,8,1
1969,Sweden,9,9
1969,Belgium,10,7
1969,Switzerland,11,5
1969,Norway,12,16
1969,Germany,13,9
1969,France,14,1
1969,Portugal,15,15
1969,Finland,16,12
1970,Netherlands,1,7
1970,Switzerland,2,4
1970,Italy,3,8
1970,Yugoslavia,4,11
1970,Belgium,5,8
1970,France,6,4
1970,United Kingdom,7,2
1970,Luxembourg,8,12
1970,Spain,9,4
1970,Monaco,10,8
1970,Germany,11,3
1970,Ireland,12,1
1971,Austria,1,16
1971,Malta,2,18
1971,Monaco,3,1
1971,Switzerland,4,12
1971,Germany,5,3
1971,Spain,6,2
1971,France,7,10
1971,Luxembourg,8,13
1971,United Kingdom,9,4
1971,Belgium,10,14
1971,Italy,11,5
1971,Sweden,12,6
1971,Ireland,13,11
1971,Netherlands,14,6
1971,Portugal,15,9
1971,Yugoslavia,16,14
1971,Finland,17,8
1971,Norway,18,17
1972,Germany,1,3
1972,France,2,11
1972,Ireland,3,15
1972,Spain,4,10
1972,United Kingdom,5,2
1972,Norway,6,14
1972,Portugal,7,7
1972,Switzerland,8,8
1972,Malta,9,18
1972,Finland,10,12
1972,Austria,11,5
1972,Italy,12,6
1972,Yugoslavia,13,9
1972,Sweden,14,13
1972,Monaco,15,16
1972,Belgium,16,17
1972,Luxembourg,17,1
1972,Netherlands,18,4
1973,Finland,1,6
1973,Belgium,2,17
1973,Portugal,3,10
1973,Germany,4,8
1973,Norway,5,7
1973,Monaco,6,8
1973,Spain,7,2
1973,Switzerland,8,12
1973,Yugoslavia,9,15
1973,Italy,10,13
1973,Luxembourg,11,1
1973,Sweden,12,5
1973,Netherlands,13,14
1973,Ireland,14,10
1973,United Kingdom,15,3
1973,France,16,15
1973,Israel,17,4
1974,Finland,1,13
1974,United Kingdom,2,4
1974,Spain,3,9
1974,Norway,4,14
1974,Greece,5,11
1974,Israel,6,7
1974,Yugoslavia,7,12
1974,Sweden,8,1
1974,Luxembourg,9,4
1974,Monaco,10,4
1974,Belgium,11,9
1974,Netherlands,12,3
1974,Ireland,13,7
1974,Germany,14,14
1974,Switzerland,15,14
1974,Portugal,16,14
1974,Italy,17,2
1975,Netherlands,1,1
1975,Ireland,2,9
1975,France,3,4
1975,Germany,4,17
1975,Luxembourg,5,5
1975,Norway,6,18
1975,Switzerland,7,6
1975,Yugoslavia,8,13
1975,United Kingdom,9,2
1975,Malta,10,12
1975,Belgium,11,15
1975,Israel,12,11
1975,Turkey,13,19
1975,Monaco,14,13
1975,Finland,15,7
1975,Portugal,16,16
1975,Spain,17,10
1975,Sweden,18,8
1975,Italy,19,3
1976,United Kingdom,1,1
1976,Switzerland,2,4
1976,Germany,3,15
1976,Israel,4,6
1976,Luxembourg,5,14
1976,Belgium,6,8
1976,Ireland,7,10
1976,Netherlands,8,9
1976,Norway,9,18
1976,Greece,10,13
1976,Finland,11,11
1976,Spain,12,16
1976,Italy,13,7
1976,Austria,14,5
1976,Portugal,15,12
1976,Monaco,16,3
1976,France,17,2
1976,Yugoslavia,18,17
1977,Ireland,1,3
1977,Monaco,2,4
1977,Netherlands,3,12
1977,Austria,4,17
1977,Norway,5,14
1977,Germany,6,8
1977,Luxembourg,7,16
1977,Portugal,8,14
1977,United Kingdom,9,2
1977,Greece,10,5
1977,Israel,11,11
1977,Switzerland,12,6
1977,Sweden,13,18
1977,Spain,14,9
1977,Italy,15,13
1977,Finland,16,10
1977,Belgium,17,7
1977,France,18,1
1978,Ireland,1,5
1978,Norway,2,20
1978,Italy,3,12
1978,Finland,4,18
1978,Portugal,5,17
1978,France,6,3
1978,Spain,7,9
1978,United Kingdom,8,11
1978,Switzerland,9,9
1978,Belgium,10,2
1978,Netherlands,11,13
1978,Turkey,12,18
1978,Germany,13,6
1978,Monaco,14,4
1978,Greece,15,8
1978,Denmark,16,16
1978,Luxembourg,17,7
1978,Israel,18,1
1978,Austria,19,15
1978,Sweden,20,14
1979,Portugal,1,9
1979,Italy,2,15
1979,Denmark,3,6
1979,Ireland,4,5
1979,Finland,5,14
1979,Monaco,6,16
1979,Greece,7,8
1979,Switzerland,8,10
1979,Germany,9,4
1979,Israel,10,1
1979,France,11,3
1979,Belgium,12,18
1979,Luxembourg,13,13
1979,Netherlands,14,12
1979,Sweden,15,17
1979,Norway,16,11
1979,United Kingdom,17,7
1979,Austria,18,18
1979,Spain,19,2
1980,Austria,1,8
1980,Turkey,2,15
1980,Greece,3,13
1980,Luxembourg,4,9
1980,Morocco,5,18
1980,Italy,6,6
1980,Denmark,7,14
1980,Sweden,8,10
1980,Switzerland,9,4
1980,Finland,10,19
1980,Norway,11,16
1980,Germany,12,2
1980,United Kingdom,13,3
1980,Portugal,14,7
1980,Netherlands,15,5
1980,France,16,11
1980,Ireland,17,1
1980,Spain,18,12
1980,Belgium,19,17
1981,Austria,1,17
1981,Turkey,2,18
1981,Germany,3,2
1981,Luxembourg,4,11
1981,Israel,5,7
1981,Denmark,6,11
1981,Yugoslavia,7,15
1981,Finland,8,16
1981,France,9,3
1981,Spain,10,14
1981,Netherlands,11,9
1981,Ireland,12,5
1981,Norway,13,20
1981,United Kingdom,14,1
1981,Portugal,15,18
1981,Belgium,16,13
1981,Greece,17,8
1981,Cyprus,18,6
1981,Switzerland,19,4
1981,Sweden,20,10
1982,Portugal,1,13
1982,Luxembourg,2,6
1982,Norway,3,12
1982,United Kingdom,4,7
1982,Turkey,5,15
1982,Finland,6,18
1982,Switzerland,7,3
1982,Cyprus,8,5
1982,Sweden,9,8
1982,Austria,10,9
1982,Belgium,11,4
1982,Spain,12,10
1982,Denmark,13,17
1982,Yugoslavia,14,14
1982,Israel,15,2
1982,Netherlands,16,16
1982,Ireland,17,11
1982,Germany,18,1
1983,France,1,8
1983,Norway,2,9
1983,United Kingdom,3,6
1983,Sweden,4,3
1983,Italy,5,11
1983,Turkey,6,19
1983,Spain,7,19
1983,Switzerland,8,15
1983,Finland,9,11
1983,Greece,10,14
1983,Netherlands,11,7
1983,Yugoslavia,12,4
1983,Cyprus,13,16
1983,Germany,14,5
1983,Denmark,15,17
1983,Israel,16,2
1983,Portugal,17,13
1983,Austria,18,9
1983,Belgium,19,18
1983,Luxembourg,20,1
1984,Sweden,1,1
1984,Luxembourg,2,10
1984,France,3,8
1984,Spain,4,3
1984,Norway,5,17
1984,United Kingdom,6,7
1984,Cyprus,7,15
1984,Belgium,8,5
1984,Ireland,9,2
1984,Denmark,10,4
1984,Netherlands,11,13
1984,Yugoslavia,12,18
1984,Austria,13,19
1984,Germany,14,13
1984,Turkey,15,12
1984,Finland,16,9
1984,Switzerland,17,16
1984,Italy,18,5
1984,Portugal,19,11
1985,Ireland,1,6
1985,Finland,2,9
1985,Cyprus,3,16
1985,Denmark,4,11
1985,Spain,5,14
1985,France,6,10
1985,Turkey,7,14
1985,Belgium,8,19
1985,Portugal,9,18
1985,Germany,10,2
1985,Israel,11,5
1985,Italy,12,7
1985,Norway,13,1
1985,United Kingdom,14,4
1985,Switzerland,15,12
1985,Sweden,16,3
1985,Austria,17,8
1985,Luxembourg,18,13
1985,Greece,19,16
1986,Luxembourg,1,3
1986,Yugoslavia,2,11
1986,France,3,17
1986,Norway,4,12
1986,United Kingdom,5,7
1986,Iceland,6,16
1986,Netherlands,7,13
1986,Turkey,8,9
1986,Spain,9,10
1986,Switzerland,10,2
1986,Israel,11,19
1986,Ireland,12,4
1986,Belgium,13,1
1986,Germany,14,8
1986,Cyprus,15,20
1986,Austria,16,18
1986,Sweden,17,5
1986,Denmark,18,6
1986,Finland,19,15
1986,Portugal,20,14
1987,Norway,1,9
1987,Israel,2,8
1987,Austria,3,20
1987,Iceland,4,16
1987,Belgium,5,11
1987,Sweden,6,12
1987,Italy,7,3
1987,Portugal,8,18
1987,Spain,9,19
1987,Turkey,10,22
1987,Greece,11,10
1987,Netherlands,12,5
1987,Luxembourg,13,21
1987,United Kingdom,14,13
1987,France,15,14
1987,Germany,16,2
1987,Cyprus,17,7
1987,Finland,18,15
1987,Denmark,19,5
1987,Ireland,20,1
1987,Yugoslavia,21,4
1987,Switzerland,22,17
1988,Iceland,1,16
1988,Sweden,2,12
1988,Finland,3,20
1988,United Kingdom,4,2
1988,Turkey,5,15
1988,Spain,6,11
1988,Netherlands,7,9
1988,Israel,8,7
1988,Switzerland,9,1
1988,Ireland,10,8
1988,Germany,11,14
1988,Austria,12,21
1988,Denmark,13,3
1988,Greece,14,17
1988,Norway,15,5
1988,Belgium,16,18
1988,Luxembourg,17,4
1988,Italy,18,12
1988,France,19,10
1988,Portugal,20,18
1988,Yugoslavia,21,6
1989,Italy,1,9
1989,Israel,2,12
1989,Ireland,3,18
1989,Netherlands,4,15
1989,Turkey,5,21
1989,Belgium,6,19
1989,United Kingdom,7,2
1989,Norway,8,17
1989,Portugal,9,16
1989,Sweden,10,4
1989,Luxembourg,11,20
1989,Denmark,12,3
1989,Austria,13,5
1989,Finland,14,7
1989,France,15,8
1989,Spain,16,6
1989,Cyprus,17,11
1989,Switzerland,18,13
1989,Greece,19,9
1989,Iceland,20,22
1989,Germany,21,14
1989,Yugoslavia,22,1
1990,Spain,1,5
1990,Greece,2,19
1990,Belgium,3,12
1990,Turkey,4,17
1990,Netherlands,5,15
1990,Luxembourg,6,13
1990,United Kingdom,7,6
1990,Iceland,8,4
1990,Norway,9,21
1990,Israel,10,18
1990,Denmark,11,8
1990,Switzerland,12,11
1990,Germany,13,9
1990,France,14,2
1990,Yugoslavia,15,7
1990,Portugal,16,20
1990,Ireland,17,2
1990,Sweden,18,16
1990,Italy,19,1
1990,Austria,20,10
1990,Cyprus,21,14
1990,Finland,22,21
1991,Yugoslavia,1,21
1991,Iceland,2,15
1991,Malta,3,6
1991,Greece,4,13
1991,Switzerland,5,5
1991,Austria,6,22
1991,Luxembourg,7,14
1991,Sweden,8,1
1991,France,9,2
1991,Turkey,10,12
1991,Ireland,11,10
1991,Portugal,12,8
1991,Denmark,13,19
1991,Norway,14,17
1991,Israel,15,3
1991,Finland,16,20
1991,Germany,17,18
1991,Belgium,18,16
1991,Spain,19,4
1991,United Kingdom,20,10
1991,Cyprus,21,9
1991,Italy,22,7
1992,Spain,1,14
1992,Belgium,2,20
1992,Israel,3,6
1992,Turkey,4,19
1992,Greece,5,5
1992,France,6,8
1992,Sweden,7,22
1992,Portugal,8,17
1992,Cyprus,9,11
1992,Malta,10,3
1992,Iceland,11,7
1992,Finland,12,23
1992,Switzerland,13,15
1992,Luxembourg,14,21
1992,Austria,15,10
1992,United Kingdom,16,2
1992,Ireland,17,1
1992,Denmark,18,12
1992,Italy,19,4
1992,Yugoslavia,20,13
1992,Norway,21,18
1992,Germany,22,16
1992,Netherlands,23,9
1993,Italy,1,12
1993,Turkey,2,21
1993,Germany,3,18
1993,Switzerland,4,3
1993,Denmark,5,22
1993,Greece,6,9
1993,Belgium,7,25
1993,Malta,8,8
1993,Iceland,9,13
1993,Austria,10,14
1993,Portugal,11,10
1993,France,12,4
1993,Sweden,13,7
1993,Ireland,14,1
1993,Luxembourg,15,20
1993,Slovenia,16,22
1993,Finland,17,17
1993,Bosnia and Herzegovina,18,16
1993,United Kingdom,19,2
1993,Netherlands,20,6
1993,Croatia,21,15
1993,Spain,22,11
1993,Cyprus,23,19
1993,Israel,24,24
1993,Norway,25,5
1994,Sweden,1,13
1994,Finland,2,22
1994,Ireland,3,1
1994,Cyprus,4,11
1994,Iceland,5,12
1994,United Kingdom,6,10
1994,Croatia,7,16
1994,Portugal,8,8
1994,Switzerland,9,19
1994,Estonia,10,24
1994,Romania,11,21
1994,Malta,12,5
1994,Netherlands,13,23
1994,Germany,14,3
1994,Slovakia,15,19
1994,Lithuania,16,25
1994,Norway,17,6
1994,Bosnia and Herzegovina,18,15
1994,Greece,19,14
1994,Austria,20,17
1994,Spain,21,18
1994,Hungary,22,4
1994,Russia,23,9
1994,Poland,24,2
1994,France,25,7
1995,Poland,1,18
1995,Ireland,2,14
1995,Germany,3,23
1995,Bosnia and Herzegovina,4,19
1995,Norway,5,1
1995,Russia,6,17
1995,Iceland,7,15
1995,Austria,8,13
1995,Spain,9,2
1995,Turkey,10,16
1995,Croatia,11,6
1995,France,12,4
1995,Hungary,13,22
1995,Belgium,14,20
1995,United Kingdom,15,10
1995,Portugal,16,21
1995,Cyprus,17,9
1995,Sweden,18,3
1995,Denmark,19,5
1995,Slovenia,20,7
1995,Israel,21,8
1995,Malta,22,10
1995,Greece,23,12
1996,Turkey,1,12
1996,United Kingdom,2,8
1996,Spain,3,20
1996,Portugal,4,6
1996,Cyprus,5,9
1996,Malta,6,10
1996,Croatia,7,4
1996,Austria,8,10
1996,Switzerland,9,16
1996,Greece,10,14
1996,Estonia,11,5
1996,Norway,12,2
1996,France,13,19
1996,Slovenia,14,21
1996,Netherlands,15,7
1996,Belgium,16,16
1996,Ireland,17,1
1996,Finland,18,23
1996,Iceland,19,13
1996,Poland,20,15
1996,Bosnia and Herzegovina,21,22
1996,Slovakia,22,18
1996,Sweden,23,3
1997,Cyprus,1,5
1997,Turkey,2,3
1997,Norway,3,24
1997,Austria,4,21
1997,Ireland,5,2
1997,Slovenia,6,10
1997,Switzerland,7,22
1997,Netherlands,8,22
1997,Italy,9,4
1997,Spain,10,6
1997,Germany,11,18
1997,Poland,12,11
1997,Estonia,13,8
1997,Bosnia and Herzegovina,14,18
1997,Portugal,15,24
1997,Sweden,16,14
1997,Greece,17,12
1997,Malta,18,9
1997,Hungary,19,12
1997,Russia,20,15
1997,Denmark,21,16
1997,France,22,7
1997,Croatia,23,17
1997,United Kingdom,24,1
1997,Iceland,25,20
1998,Croatia,1,5
1998,Greece,2,20
1998,France,3,24
1998,Spain,4,16
1998,Switzerland,5,25
1998,Slovakia,6,21
1998,Poland,7,17
1998,Israel,8,1
1998,Germany,9,7
1998,Malta,10,3
1998,Hungary,11,23
1998,Slovenia,12,18
1998,Ireland,13,9
1998,Portugal,14,12
1998,Romania,15,22
1998,United Kingdom,16,2
1998,Cyprus,17,11
1998,Netherlands,18,4
1998,Sweden,19,10
1998,Belgium,20,6
1998,Finland,21,15
1998,Norway,22,8
1998,Estonia,23,12
1998,Turkey,24,14
1998,Macedonia,25,19
1999,Lithuania,1,20
1999,Belgium,2,12
1999,Spain,3,23
1999,Croatia,4,4
1999,United Kingdom,5,12
1999,Slovenia,6,11
1999,Turkey,7,16
1999,Norway,8,14
1999,Denmark,9,8
1999,France,10,19
1999,Netherlands,11,8
1999,Poland,12,18
1999,Iceland,13,2
1999,Cyprus,14,22
1999,Sweden,15,1
1999,Portugal,16,21
1999,Ireland,17,17
1999,Austria,18,10
1999,Israel,19,5
1999,Malta,20,15
1999,Germany,21,3
1999,Bosnia and Herzegovina,22,7
1999,Estonia,23,6
2000,Israel,1,22
2000,Netherlands,2,13
2000,United Kingdom,3,16
2000,Estonia,4,4
2000,France,5,23
2000,Romania,6,17
2000,Malta,7,8
2000,Norway,8,11
2000,Russia,9,2
2000,Belgium,10,24
2000,Cyprus,11,21
2000,Iceland,12,12
2000,Spain,13,18
2000,Denmark,14,1
2000,Germany,15,5
2000,Switzerland,16,20
2000,Croatia,17,9
2000,Sweden,18,7
2000,Macedonia,19,15
2000,Finland,20,18
2000,Latvia,21,3
2000,Turkey,22,10
2000,Ireland,23,6
2000,Austria,24,14
2001,Netherlands,1,18
2001,Iceland,2,22
2001,Bosnia and Herzegovina,3,14
2001,Norway,4,22
2001,Israel,5,16
2001,Russia,6,12
2001,Sweden,7,5
2001,Lithuania,8,13
2001,Latvia,9,18
2001,Croatia,10,10
2001,Portugal,11,17
2001,Ireland,12,21
2001,Spain,13,6
2001,France,14,4
2001,Turkey,15,11
2001,United Kingdom,16,15
2001,Slovenia,17,7
2001,Poland,18,20
2001,Germany,19,8
2001,Estonia,20,1
2001,Malta,21,9
2001,Greece,22,3
2001,Denmark,23,2
2002,Cyprus,1,6
2002,United Kingdom,2,3
2002,Austria,3,18
2002,Greece,4,17
2002,Spain,5,7
2002,Croatia,6,11
2002,Russia,7,10
2002,Estonia,8,3
2002,Macedonia,9,19
2002,Israel,10,12
2002,Switzerland,11,22
2002,Sweden,12,8
2002,Finland,13,20
2002,Denmark,14,24
2002,Bosnia and Herzegovina,15,13
2002,Belgium,16,13
2002,France,17,5
2002,Germany,18,21
2002,Turkey,19,16
2002,Malta,20,2
2002,Romania,21,9
2002,Slovenia,22,13
2002,Latvia,23,1
2002,Lithuania,24,23
2003,Iceland,1,8
2003,Austria,2,6
2003,Ireland,3,11
2003,Turkey,4,1
2003,Malta,5,25
2003,Bosnia and Herzegovina,6,16
2003,Portugal,7,22
2003,Croatia,8,15
2003,Cyprus,9,20
2003,Germany,10,11
2003,Russia,11,3
2003,Spain,12,8
2003,Israel,13,19
2003,Netherlands,14,13
2003,United Kingdom,15,26
2003,Ukraine,16,14
2003,Greece,17,17
2003,Norway,18,4
2003,France,19,18
2003,Poland,20,7
2003,Latvia,21,24
2003,Belgium,22,2
2003,Estonia,23,21
2003,Romania,24,10
2003,Sweden,25,5
2003,Slovenia,26,23
2004,Spain,1,10
2004,Austria,2,21
2004,Norway,3,24
2004,France,4,15
2004,Serbia and Montenegro,5,2
2004,Malta,6,12
2004,Netherlands,7,20
2004,Germany,8,8
2004,Albania,9,7
2004,Ukraine,10,1
2004,Croatia,11,12
2004,Bosnia and Herzegovina,12,9
2004,Belgium,13,22
2004,Russia,14,11
2004,Macedonia,15,14
2004,Greece,16,3
2004,Iceland,17,19
2004,Ireland,18,22
2004,Poland,19,17
2004,United Kingdom,20,16
2004,Cyprus,21,5
2004,Turkey,22,4
2004,Romania,23,18
2004,Sweden,24,5
2005,Hungary,1,12
2005,United Kingdom,2,22
2005,Malta,3,2
2005,Romania,4,3
2005,Norway,5,9
2005,Turkey,6,13
2005,Moldova,7,6
2005,Albania,8,16
2005,Cyprus,9,18
2005,Spain,10,21
2005,Israel,11,4
2005,Serbia and Montenegro,12,7
2005,Denmark,13,9
2005,Sweden,14,19
2005,Macedonia,15,17
2005,Ukraine,16,19
2005,Germany,17,24
2005,Croatia,18,11
2005,Greece,19,1
2005,Russia,20,15
2005,Bosnia and Herzegovina,21,14
2005,Switzerland,22,8
2005,Latvia,23,5
2005,France,24,23
2006,Switzerland,1,16
2006,Moldova,2,20
2006,Israel,3,23
2006,Latvia,4,16
2006,Norway,5,14
2006,Spain,6,21
2006,Malta,7,24
2006,Germany,8,14
2006,Denmark,9,18
2006,Russia,10,2
2006,Macedonia,11,12
2006,Romania,12,4
2006,Bosnia and Herzegovina,13,3
2006,Lithuania,14,6
2006,United Kingdom,15,19
2006,Greece,16,9
2006,Finland,17,1
2006,Ukraine,18,7
2006,France,19,22
2006,Croatia,20,12
2006,Ireland,21,10
2006,Sweden,22,5
2006,Turkey,23,11
2006,Armenia,24,8
2007,Bosnia and Herzegovina,1,11
2007,Spain,2,20
2007,Belarus,3,6
2007,Ireland,4,24
2007,Finland,5,17
2007,Macedonia,6,14
2007,Slovenia,7,15
2007,Hungary,8,9
2007,Lithuania,9,21
2007,Greece,10,7
2007,Georgia,11,12
2007,Sweden,12,18
2007,France,13,22
2007,Latvia,14,16
2007,Russia,15,3
2007,Germany,16,19
2007,Serbia,17,1
2007,Ukraine,18,2
2007,United Kingdom,19,22
2007,Romania,20,13
2007,Bulgaria,21,5
2007,Turkey,22,4
2007,Armenia,23,8
2007,Moldova,24,10
2008,Romania,1,20
2008,United Kingdom,2,25
2008,Albania,3,17
2008,Germany,4,23
2008,Armenia,5,4
2008,Bosnia and Herzegovina,6,10
2008,Israel,7,9
2008,Finland,8,22
2008,Croatia,9,21
2008,Poland,10,24
2008,Iceland,11,14
2008,Turkey,12,7
2008,Portugal,13,13
2008,Latvia,14,12
2008,Sweden,15,18
2008,Denmark,16,15
2008,Georgia,17,11
2008,Ukraine,18,2
2008,France,19,19
2008,Azerbaijan,20,8
2008,Greece,21,3
2008,Spain,22,16
2008,Serbia,23,6
2008,Russia,24,1
2008,Norway,25,5
2009,Lithuania,1,23
2009,Israel,2,16
2009,France,3,8
2009,Sweden,4,21
2009,Croatia,5,18
2009,Portugal,6,15
2009,Iceland,7,2
2009,Greece,8,7
2009,Armenia,9,10
2009,Russia,10,11
2009,Azerbaijan,11,3
2009,Bosnia and Herzegovina,12,9
2009,Moldova,13,14
2009,Malta,14,22
2009,Estonia,15,6
2009,Denmark,16,13
2009,Germany,17,20
2009,Turkey,18,4
2009,Albania,19,17
2009,Norway,20,1
2009,Ukraine,21,12
2009,Romania,22,19
2009,United Kingdom,23,5
2009,Finland,24,25
2009,Spain,25,24
2010,Azerbaijan,1,5
2010,Spain,2,15
2010,Norway,3,20
2010,Moldova,4,22
2010,Cyprus,5,21
2010,Bosnia and Herzegovina,6,17
2010,Belgium,7,6
2010,Serbia,8,13
2010,Belarus,9,24
2010,Ireland,10,23
2010,Greece,11,8
2010,United Kingdom,12,25
2010,Georgia,13,9
2010,Turkey,14,2
2010,Albania,15,16
2010,Iceland,16,19
2010,Ukraine,17,10
2010,France,18,12
2010,Romania,19,3
2010,Russia,20,11
2010,Armenia,21,7
2010,Germany,22,1
2010,Portugal,23,18
2010,Israel,24,14
2010,Denmark,25,4
2011,Finland,1,21
2011,Bosnia and Herzegovina,2,6
2011,Denmark,3,5
2011,Lithuania,4,19
2011,Hungary,5,22
2011,Ireland,6,8
2011,Sweden,7,3
2011,Estonia,8,24
2011,Greece,9,7
2011,Russia,10,16
2011,France,11,15
2011,Italy,12,2
2011,Switzerland,13,25
2011,United Kingdom,14,11
2011,Moldova,15,12
2011,Germany,16,10
2011,Romania,17,17
2011,Austria,18,18
2011,Azerbaijan,19,1
2011,Slovenia,20,13
2011,Iceland,21,20
2011,Spain,22,23
2011,Ukraine,23,4
2011,Serbia,24,14
2011,Georgia,25,9
2012,United Kingdom,1,25
2012,Hungary,2,24
2012,Albania,3,5
2012,Lithuania,4,14
2012,Bosnia and Herzegovina,5,18
2012,Russia,6,2
2012,Iceland,7,20
2012,Cyprus,8,16
2012,France,9,22
2012,Italy,10,9
2012,Estonia,11,6
2012,Norway,12,26
2012,Azerbaijan,13,4
2012,Romania,14,12
2012,Denmark,15,23
2012,Greece,16,17
2012,Sweden,17,1
2012,Turkey,18,7
2012,Spain,19,10
2012,Germany,20,8
2012,Malta,21,21
2012,Macedonia,22,13
2012,Ireland,23,19
2012,Serbia,24,3
2012,Ukraine,25,15
2012,Moldova,26,11
2013,France,1,23
2013,Lithuania,2,22
2013,Moldova,3,11
2013,Finland,4,24
2013,Spain,5,25
2013,Belgium,6,12
2013,Estonia,7,20
2013,Belarus,8,16
2013,Malta,9,8
2013,Russia,10,5
2013,Germany,11,21
2013,Armenia,12,18
2013,Netherlands,13,9
2013,Romania,14,13
2013,United Kingdom,15,19
2013,Sweden,16,14
2013,Hungary,17,10
2013,Denmark,18,1
2013,Iceland,19,17
2013,Azerbaijan,20,2
2013,Greece,21,6
2013,Ukraine,22,3
2013,Italy,23,7
